Kingdom,Phylum_division,Subphylum,Superclass,Class,Order,Family,Genus,Latin
animalia,NA,NA,NA,eurotatoria,ploima,brachionidae,keratella,unknown (keratella genus)
animalia,arthropoda,crustacea,NA,branchiopoda,diplostraca,sididae,diaphanosoma,diaphanosoma 
animalia,arthropoda,crustacea,multicrustacea,hexanauplia,cyclopoida,cyclopidae,cyclops,unknown (cyclops genus)
animalia,arthropoda,hexapoda,NA,insecta,hemiptera,nepidae,ranatra,ranatra linearis
animalia,mollusca,NA,NA,gastropoda,NA,thiaridae,melanoides,melanoides tuberculatus
animalia,mollusca,NA,NA,gastropoda,architaenioglossa,viviparidae,viviparus,unknown (viviparus genus)
animalia,mollusca,NA,NA,bivalvia,unionoida,unionidae,lamellidens,lamellidens marginalis
animalia,arthropoda,hexapoda,NA,insecta,coleoptera,dytiscidae,eretes,eretes griseus
animalia,arthropoda,hexapoda,NA,insecta,coleoptera,dytiscidae,hydroglyphus,guignotus japonicus
animalia,arthropoda,hexapoda,NA,insecta,coleoptera,hydrophilidae,regimbartia,regimbartia attenuata
animalia,arthropoda,hexapoda,NA,insecta,coleoptera,hydrophilidae,sternolophus,sternolophus rufipes
animalia,arthropoda,crustacea,NA,branchiopoda,diplostraca,cyzicidae,caenestheriella,caenestheriella gifuensis
animalia,arthropoda,hexapoda,NA,insecta,diptera,culicidae,aedes,aedes albopictus
animalia,arthropoda,hexapoda,NA,insecta,diptera,chironomidae,unknown (chironomidae family),unknown (chironomidae family)
animalia,arthropoda,hexapoda,NA,insecta,diptera,tipulidae,tipula,tipula aino
animalia,arthropoda,hexapoda,NA,insecta,ephemeroptera,baetidae,baetis,unknown (baetis genus)
animalia,arthropoda,hexapoda,NA,insecta,hemiptera,notonectidae,ansiops,unknown (ansiops genus)
animalia,arthropoda,hexapoda,NA,insecta,hemiptera,notonectidae,notonecta,notonecta triguttata
animalia,arthropoda,hexapoda,NA,insecta,odonata,libellulidae,crocothermis,crocothemis servilla mariannae
animalia,arthropoda,hexapoda,NA,insecta,odonata,anisoptera,lyriothemis,lyriothemis pachygasta
animalia,arthropoda,hexapoda,NA,insecta,odonata,libellulidae,orthertrum,orthertrum albistylumciosum
animalia,arthropoda,hexapoda,NA,insecta,diptera,chironomidae,unknown (chironomidae family),unknown (chironomidae family)
animalia,arthropoda,hexapoda,NA,insecta,diptera,chironomidae,ablabesmyia,ablabesmyia
animalia,mollusca,NA,NA,gastropoda,NA,lymnaeidae,radix,unknown (radix genus)
animalia,arthropoda,hexapoda,NA,insecta,ephemeroptera,caenidae,caenis,unknown (caenis genus)
animalia,arthropoda,hexapoda,NA,insecta,diptera,ceratopogonidae,unknown (ceratopogonidae family),unknown (ceratopogonidae family)
animalia,arthropoda,hexapoda,NA,insecta,diptera,chaoboridae,unknown (chaoboridae family),unknown (chaoboridae family)
animalia,arthropoda,hexapoda,NA,insecta,ephemeroptera,heptageniidae,epeorus,epeorus longimanus
animalia,arthropoda,hexapoda,NA,insecta,ephemeroptera,baetidae,baetis,baetis brunneicolor
animalia,arthropoda,hexapoda,NA,insecta,ephemeroptera,unknown (ephemeroptera order),unknown (ephemeroptera order),unknown (ephemeroptera order)
animalia,arthropoda,hexapoda,NA,insecta,plecoptera,unknown (plecoptera order),unknown (plecoptera order),unknown (plecoptera order)
animalia,arthropoda,hexapoda,NA,insecta,coleoptera,unknown (coleoptera order),unknown (coleoptera order),unknown (coleoptera order)
animalia,annelida,NA,NA,clitellata,unknown (oligochaeta clade),unknown (oligochaeta clade),unknown (oligochaeta clade),unknown (oligochaeta clade)
animalia,arthropoda,hexapoda,NA,collembola,unknown (collembola order),unknown (collembola order),unknown (collembola order),unknown (collembola order)
animalia,arthropoda,hexapoda,NA,insecta,diptera,unknown (diptera order),unknown (diptera order),unknown (diptera order)
